2025,11,03,11,13,도심권,중구,21,12,좋음
2025,11,03,11,13,도심권,종로구,15,9,좋음
2025,11,03,11,13,도심권,용산구,33,17,좋음
2025,11,03,11,13,서북권,은평구,19,6,좋음
2025,11,03,11,13,서북권,서대문구,20,14,좋음
2025,11,03,11,13,서북권,마포구,24,13,좋음
2025,11,03,11,13,동북권,광진구,18,8,좋음
2025,11,03,11,13,동북권,성동구,18,9,좋음
2025,11,03,11,13,동북권,중랑구,15,6,좋음
2025,11,03,11,13,동북권,동대문구,20,8,좋음
2025,11,03,11,13,동북권,성북구,21,14,좋음
2025,11,03,11,13,동북권,도봉구,19,14,좋음
2025,11,03,11,13,동북권,강북구,24,9,좋음
2025,11,03,11,13,동북권,노원구,13,4,좋음
2025,11,03,11,13,서남권,강서구,20,4,좋음
2025,11,03,11,13,서남권,구로구,21,13,좋음
2025,11,03,11,13,서남권,영등포구,21,13,좋음
2025,11,03,11,13,서남권,동작구,22,11,좋음
2025,11,03,11,13,서남권,관악구,19,9,좋음
2025,11,03,11,13,서남권,금천구,23,0,좋음
2025,11,03,11,13,서남권,양천구,17,6,좋음
2025,11,03,11,13,동남권,강남구,16,6,좋음
2025,11,03,11,13,동남권,서초구,0,11,좋음
2025,11,03,11,13,동남권,송파구,21,11,좋음
2025,11,03,11,13,동남권,강동구,27,13,좋음
